pos_x,pos_y,orientation_z
-0.05501111,-0.055654597,0.008051502
-0.05501111,-0.055654597,0.008051502
-0.054996975,-0.05564386,0.008051919
-0.054976948,-0.055661578,0.0080518555
-0.054944895,-0.055657316,0.008056538
-0.05491437,-0.055664506,0.008057347
-0.05490745,-0.055684436,0.008059787
-0.05490745,-0.055684436,0.008059787
-0.05485686,-0.055674206,0.00806074
-0.054832093,-0.055674884,0.008060807
-0.054825053,-0.05567078,0.008061135
-0.054839686,-0.055662375,0.008060535
-0.054814056,-0.055678774,0.008063255
-0.054814056,-0.055678774,0.008063255
-0.054785483,-0.05569424,0.008063758
-0.05478259,-0.05569217,0.008063944
-0.05477272,-0.055689547,0.008064674
-0.05474504,-0.055679623,0.008065382
-0.05469983,-0.05571333,0.0080686975
-0.05469983,-0.05571333,0.0080686975
-0.054691583,-0.055697504,0.0080675315
-0.054683253,-0.055832464,0.008061113
-0.042330526,-0.058864985,0.0078026075
-0.009699777,-0.057257053,0.0070359614
0.06538969,-0.071490824,0.007492589
0.21546441,-0.07884717,0.012838082
0.49916527,-0.066146046,0.014904996
0.78234684,-0.04293081,0.029307904
0.78234684,-0.04293081,0.029307904
0.9870599,-0.0136384405,0.03007303
1.2283053,0.015609898,0.03600046
1.4484501,0.021030344,0.039118826
1.6988184,0.029928472,0.04947219
1.8478316,0.026568487,0.022477688
1.8478316,0.026568487,0.022477688
2.0209527,0.0032556877,0.024636367
2.3051727,0.007937964,-0.014687194
2.3240347,0.018694278,0.014232064
2.5984387,0.02896351,-0.026966615
2.7056186,-0.002879303,-0.0067744423
2.7056186,-0.002879303,-0.0067744423
2.900101,0.024436664,-0.006969696
3.2098706,-0.008380864,-0.0063404683
3.2143939,-0.01654568,0.0032161083
3.5147262,-0.029924478,0.0036444794
3.6727142,-0.046124194,-0.0036022943
3.6727142,-0.046124194,-0.0036022943
3.8893855,-0.09034827,-0.006774841
4.179698,-0.016227406,-0.0275484
4.2927647,-0.11949742,-0.011563672
4.537685,-0.10760498,-0.0073820855
4.749625,-0.05512437,-0.01914682
4.749625,-0.05512437,-0.01914682
4.9714932,-0.07772629,-0.026901776
5.2002664,-0.09588273,-0.027259128
5.2830787,-0.1051473,-0.015021408
5.5205307,-0.15641043,0.09457386
5.7045856,0.0015264265,0.18072154
5.7045856,0.0015264265,0.18072154
5.6795397,0.13104025,0.33100292
5.9345384,0.35359073,0.4334735
6.068378,0.4634274,0.45883188
5.9065037,0.6960806,0.6478059
5.8707924,0.9732751,0.781205
5.932152,1.1003994,0.7797711
5.6741786,1.2711687,0.9106615
5.481375,1.3245574,0.9426983
5.481375,1.3245574,0.9426983
5.3146005,1.3921571,1.003849
5.020444,1.4194841,1.0230662
4.946103,1.4371297,1.0487332
4.716848,1.4767745,1.0483489
4.521091,1.5150448,1.0383762
4.521091,1.5150448,1.0383762
4.3272943,1.5941886,1.0300434
4.1403112,1.6471072,1.0291944
4.0969486,1.6741842,1.0232098
3.8962255,1.7821908,1.0213695
3.6049283,1.8694797,1.0163708
3.6049283,1.8694797,1.0163708
3.3824973,1.8499463,1.0298889
3.0271423,1.7805192,0.3839817
3.0652966,1.7509879,1.0128939
2.8690639,1.7068083,1.0291885
2.696861,1.6039729,1.0377464
2.696861,1.6039729,1.0377464
2.4713237,1.5332581,1.0295926
2.2671885,1.456111,1.0316118
2.155763,1.4101411,1.0282433
1.9237516,1.4704889,1.0073018
1.7484639,1.5357634,1.0331635
